scenario,policy,seed,cyber_harm_auc,misbelief_auc,trust_auc,uncertainty_auc,polarization_auc,protocol_attempted,protocol_executed,shield_interventions,final_cyber_harm,final_misbelief,final_trust,exfil_risk_auc,services_down_auc,compromised_auc
ransomware_rumor,pipeline,0,4.361111111111112,13.979712216493779,32.744076762567936,4.418090547545673,1.2656807384650444,0.0,0.0,0.0,0.16666666666666666,0.2000450958983373,0.5462193779994592,0.0,0.0,4.361111111111112
ransomware_rumor,pipeline,1,1.6666666666666665,13.367807056880116,33.17101612575282,4.465776639017103,2.1524762517957545,0.0,0.0,0.0,0.027777777777777776,0.18134748318259047,0.552526333028434,0.0,0.0,1.6666666666666665
ransomware_rumor,pipeline+shield,0,4.361111111111112,13.979712216493779,32.744076762567936,4.418090547545673,1.2656807384650444,0.0,0.0,0.0,0.16666666666666666,0.2000450958983373,0.5462193779994592,0.0,0.0,4.361111111111112
ransomware_rumor,pipeline+shield,1,1.6666666666666665,13.367807056880116,33.17101612575282,4.465776639017103,2.1524762517957545,0.0,0.0,0.0,0.027777777777777776,0.18134748318259047,0.552526333028434,0.0,0.0,1.6666666666666665
ransomware_rumor,vchimera,0,93.42101347573082,25.207156354089946,23.394646867612437,27.921450338794386,2.1022825173044852,37.0,37.0,0.0,3.1166666666666667,0.984428036865262,0.08468776081565899,27.363086933412998,0.0,11.88888888888889
ransomware_rumor,vchimera,1,9.58333333333333,8.755409991180604,41.01525747832529,3.3552121736079616,1.8938637274303916,7.0,7.0,0.0,0.2222222222222222,0.0749527275951774,0.6918888027401698,0.0,0.0,9.58333333333333
ransomware_rumor,vchimera+shield,0,12.518609790913771,9.906961480007666,39.76620832425269,3.57992262480028,1.728122044596948,6.0,0.0,6.0,1.031821434352385,0.10958694948939489,0.5342134243949442,0.9554286928395939,0.0,7.749999999999999
ransomware_rumor,vchimera+shield,1,21.778513144379307,10.069146873932786,38.4710916648664,4.66101965491847,2.0027126700986493,6.0,0.0,6.0,1.4986325873735675,0.1785855287975145,0.2574656384540426,2.790738297950191,0.0,11.305555555555557
outage_rumor,pipeline,0,106.7701115576838,42.284881696792844,8.967023547051767,47.533648944456786,0.675103453599266,137.0,137.0,0.0,2.566666666666667,0.8628276768313901,0.0022,38.53186888985629,0.0,2.0
outage_rumor,pipeline,1,109.79186309299433,42.369029328436575,9.436893944728865,46.96770279978903,0.6646076263030465,141.0,141.0,0.0,2.666666666666667,0.8612344748960076,0.0022,37.78418019378529,0.0,6.666666666666668
outage_rumor,pipeline+shield,0,106.7701115576838,44.91852702789751,6.93802927305154,49.986510009158984,0.5420634311447702,120.0,0.0,52.0,2.566666666666667,0.998381465742916,0.0022,38.53186888985629,0.0,2.0
outage_rumor,pipeline+shield,1,109.79186309299433,45.16389729940901,6.999715060794374,50.02236830698037,0.5249672987735479,122.0,0.0,53.0,2.666666666666667,0.9996302603518387,0.012533253973110068,37.78418019378529,0.0,6.666666666666668
outage_rumor,vchimera,0,103.78624257434352,30.969331818037638,21.240975570701607,42.507518873505354,2.020464137412928,56.0,56.0,0.0,2.566666666666667,0.9813875184039448,0.08487577920169544,37.17556480651979,0.0,2.0
outage_rumor,vchimera,1,131.3829647879405,33.81165516033561,19.377745345983126,43.58354224629329,2.0179396804345,56.0,56.0,0.0,3.1333333333333337,0.9824514592342498,0.08487577920169545,38.855893085427496,0.0,10.566666666666665
outage_rumor,vchimera+shield,0,105.73536634314947,41.90804098900314,8.80792162148689,48.75510214970072,1.6340692808240107,38.0,0.0,38.0,2.6,0.9999923290521412,0.0022,37.758499852946734,0.0,2.6666666666666674
outage_rumor,vchimera+shield,1,123.01659048294741,43.03249402315145,8.677898594442254,49.065259291405965,1.5233378774644868,38.0,0.0,38.0,2.8666666666666667,0.999512701354864,0.0022,38.6439047649761,0.0,13.333333333333336
exfiltration_scam,pipeline,0,157.11363925084473,48.21647715989551,4.63686957115078,53.717530560334495,0.3103749706739043,196.0,196.0,0.0,3.1686274509803924,0.9224164130475719,0.0022000000000000006,49.97583410100365,0.0,7.176470588235294
exfiltration_scam,pipeline,1,223.34999779086158,40.515334925887736,3.7169839264034943,54.880990054449526,0.8884049543808452,167.0,167.0,0.0,4.198039215686275,0.9213089911162702,0.0022000000000000006,51.0282796933178,0.0,16.676470588235297
exfiltration_scam,pipeline+shield,0,157.4623686194774,51.70854646845902,4.054826874512652,54.442415529539616,0.2955138167104675,177.0,0.0,56.0,3.1098039215686275,0.9996463359887151,0.0022000000000000006,50.18914630160892,0.0,6.9705882352941195
exfiltration_scam,pipeline+shield,1,203.77634130982955,52.45623725037279,6.02278654438405,53.103453733153906,0.3063545967752326,152.0,0.0,56.0,3.5313725490196077,0.9996332724783245,0.0022000000000000006,51.21488240423308,0.0,16.617647058823533
exfiltration_scam,vchimera,0,171.1720743831169,49.89703396397624,8.227403765227848,51.33315731559274,1.8352027569334752,59.0,59.0,0.0,3.256862745098039,0.9864847139053479,0.0845242495549752,50.19061684418523,0.0,13.676470588235297
exfiltration_scam,vchimera,1,177.02206794712976,50.598765364364674,8.18768442222569,51.2901152287499,1.8348604028539535,59.0,59.0,0.0,3.1980392156862747,0.9859586389460042,0.0845242495549752,49.96700954225956,0.0,16.44117647058824
exfiltration_scam,vchimera+shield,0,171.1720743831169,51.09051834535894,5.025545872490706,53.77180018967654,0.9088636113320122,40.0,0.0,40.0,3.256862745098039,1.0,0.0022000000000000006,50.19061684418523,0.0,13.676470588235297
exfiltration_scam,vchimera+shield,1,177.02206794712976,51.626828319120456,5.001778623488458,53.88995117174062,0.9099737613967377,40.0,0.0,40.0,3.1980392156862747,0.9993147718672786,0.0022000000000000006,49.96700954225956,0.0,16.44117647058824
