scenario,policy,seed_mean,seed_std,seed_count,cyber_harm_auc_mean,cyber_harm_auc_std,cyber_harm_auc_count,misbelief_auc_mean,misbelief_auc_std,misbelief_auc_count,trust_auc_mean,trust_auc_std,trust_auc_count,uncertainty_auc_mean,uncertainty_auc_std,uncertainty_auc_count,polarization_auc_mean,polarization_auc_std,polarization_auc_count,protocol_attempted_mean,protocol_attempted_std,protocol_attempted_count,protocol_executed_mean,protocol_executed_std,protocol_executed_count,shield_interventions_mean,shield_interventions_std,shield_interventions_count,final_cyber_harm_mean,final_cyber_harm_std,final_cyber_harm_count,final_misbelief_mean,final_misbelief_std,final_misbelief_count,final_trust_mean,final_trust_std,final_trust_count,exfil_risk_auc_mean,exfil_risk_auc_std,exfil_risk_auc_count,services_down_auc_mean,services_down_auc_std,services_down_auc_count,compromised_auc_mean,compromised_auc_std,compromised_auc_count
exfiltration_scam,pipeline,3.5,2.449489742783178,8,2.64803942595332,0.8666791667165217,8,0.6883922278774166,0.17212279575766345,8,0.13439874992066997,0.12382902959277925,8,0.7899062460810362,0.224194685726271,8,0.012296494313177853,0.00955506149885621,8,162.75,56.18782277835144,8,162.75,56.18782277835144,8,0.0,0.0,8,3.565686274509804,0.3974779058895557,8,0.8910473904127932,0.08708851544465275,8,0.0022000000000000006,0.0,8,0.723840578609497,0.23305047646794097,8,0.0,0.0,8,0.19938725490196083,0.05875156078298012,8
exfiltration_scam,pipeline+shield,3.5,2.449489742783178,8,2.5541762433245356,0.7682749948455948,8,0.7707879952044514,0.18676764456381614,8,0.13709796151924603,0.12448953107363726,8,0.7895471325307877,0.2257103477811803,8,0.009395357111004653,0.009390190746304303,8,146.125,50.57226088903453,8,0.0,0.0,8,47.625,15.296474850668792,8,3.433333333333333,0.2697669507599191,8,0.9996341881873951,0.00020282823130831506,8,0.0022000000000000006,0.0,8,0.7263030171660482,0.23455671111517873,8,0.0,0.0,8,0.19981617647058827,0.059983278768390526,8
exfiltration_scam,vchimera,3.5,2.449489742783178,8,2.4544556230256744,0.975385833917202,8,0.6935749039948698,0.2544093061810348,8,0.2378876327819465,0.17442322279178912,8,0.7020337175162553,0.2702712912542021,8,0.03184665732312934,0.0027138572822071336,8,48.625,18.243883515147914,8,48.625,18.243883515147914,8,0.0,0.0,8,3.33892479583197,0.308814062758358,8,0.9614963046615251,0.07056557849140095,8,0.08463776834269975,0.00021629279464528312,8,0.6790876956333036,0.2857517574736632,8,0.0,0.0,8,0.24577205882352948,0.029689326977486687,8
exfiltration_scam,vchimera+shield,3.5,2.449489742783178,8,2.616185889287721,0.7538300963613317,8,0.7502234563028882,0.18778264211325169,8,0.16571373681314744,0.1432347840789653,8,0.775248292250518,0.21164986314345466,8,0.019056581833326425,0.007786754121373767,8,35.5,8.035634920242991,8,0.0,0.0,8,35.5,8.035634920242991,8,3.3450980392156864,0.24174172560662646,8,0.9994129499547693,0.0005673663404161988,8,0.0022000000000000006,0.0,8,0.7196570288110139,0.21317386394137858,8,0.0,0.0,8,0.24993872549019613,0.022525315606938334,8
exfiltration_scam,vchimera-no-coupling+shield,3.5,2.449489742783178,8,2.495185521633522,1.0223109715776881,8,0.7388094574571936,0.22516302865987922,8,0.16458001401636313,0.1635512135322704,8,0.7370640593760421,0.2863691398786185,8,0.010708639739454115,0.009766555465933581,8,32.5,12.772738827004064,8,0.0,0.0,8,32.5,12.772738827004064,8,3.1967284710677264,0.8666756513167928,8,0.899341240348829,0.2835545397836389,8,0.06672612577143897,0.16281768684046857,8,0.6827966561335568,0.2933627426679449,8,0.0,0.0,8,0.21991421568627456,0.036820161257171594,8
exfiltration_scam,vchimera-no-targeting+shield,3.5,2.449489742783178,8,2.4822028952882023,1.0145835175453506,8,0.6760054557705237,0.2611608073267163,8,0.1938355353090533,0.19784050706709505,8,0.7380548631699366,0.29810778576226643,8,0.009421529670236016,0.004348828436535295,8,33.125,12.310709623274013,8,0.0,0.0,8,33.125,12.310709623274013,8,2.974754901960784,1.1466052575933943,8,0.8793706755915351,0.3355850805517502,8,0.08394574440043316,0.23121188079475413,8,0.6908909451460405,0.2984044212620014,8,0.0,0.0,8,0.24491421568627456,0.029872600615521674,8
outage_rumor,pipeline,3.5,2.449489742783178,8,0.8187401313018513,1.0670515517319201,8,0.36516053681724625,0.21722077978796722,8,0.39761925895637995,0.20746097600847713,8,0.3427144531034063,0.3767964443683475,8,0.01913543420312649,0.006050873835643623,8,56.25,78.30480736929793,8,56.25,78.30480736929793,8,0.0,0.0,8,1.1458333333333335,1.4765830891106737,8,0.372704517196582,0.3044324000953646,8,0.3433772015613516,0.28255154070381167,8,0.23986293847053847,0.33107646959360065,8,0.0,0.0,8,0.09104166666666667,0.06843838711343096,8
outage_rumor,pipeline+shield,3.5,2.449489742783178,8,0.7913300364281096,1.0161658467329933,8,0.4223243413299725,0.2722210810933006,8,0.38764146365229857,0.2211800912144345,8,0.35567198442198167,0.39455730058683486,8,0.01641530765031025,0.0070899625897405325,8,46.75,64.61258170268167,8,0.0,0.0,8,19.75,27.259336539457973,8,1.1041666666666667,1.404690272588503,8,0.49450247157532434,0.4179953224165535,8,0.3446688583079904,0.2807871842445833,8,0.24081920847742355,0.3324286107836782,8,0.0,0.0,8,0.0913888888888889,0.06936090212986044,8
outage_rumor,vchimera,3.5,2.449489742783178,8,1.2508460429829753,0.9947564705736767,8,0.3841772899017556,0.18838550089348385,8,0.4619708939279661,0.16625890348978473,8,0.4429193137011741,0.32606356843672807,8,0.03479806663939142,0.0026980177907847164,8,35.5,23.634115777228235,8,35.5,23.634115777228235,8,0.0,0.0,8,1.9250000000000003,1.5097303448913366,8,0.651877613046849,0.4565571066517467,8,0.3026795912799417,0.30140017141317516,8,0.37475325186094843,0.31231060669143784,8,0.0,0.0,8,0.12986111111111112,0.07244699455050121,8
outage_rumor,vchimera+shield,3.5,2.449489742783178,8,1.3070956838683097,1.0550524269007358,8,0.4738823758434904,0.256924485428125,8,0.3609808634905179,0.24634304825031875,8,0.4923373411917699,0.3667398876427426,8,0.029683396682924593,0.004661717612454394,8,25.75,16.63687814121731,8,0.0,0.0,8,25.75,16.63687814121731,8,1.9041666666666668,1.4932055111111457,8,0.6660483968350225,0.46077068220082157,8,0.2498322990302632,0.34224206829174736,8,0.37087051286943373,0.3104515197237451,8,0.0,0.0,8,0.1432638888888889,0.0781766628122844,8
outage_rumor,vchimera-no-coupling+shield,3.5,2.449489742783178,8,0.7531210572500707,0.9249185048904216,8,0.4179458802032104,0.2716839914188862,8,0.38814517815924954,0.22568834047935252,8,0.34983458503971077,0.3896075531250085,8,0.016478389366624536,0.0072370134323998525,8,15.875,16.391962316069073,8,0.0,0.0,8,15.875,16.391962316069073,8,1.1125,1.3777065713806396,8,0.4908281082995644,0.42126338682402126,8,0.34560429816709676,0.28439555751096535,8,0.2408441674369008,0.3324011093019771,8,0.0,0.0,8,0.08576388888888889,0.0339219686325586,8
outage_rumor,vchimera-no-targeting+shield,3.5,2.449489742783178,8,1.4702639859625082,0.9338703876805291,8,0.35676073764949573,0.17466854839272852,8,0.31613806514970194,0.21137984172253718,8,0.5483304634376462,0.3201510550150932,8,0.0178071033812247,0.006399646285790613,8,24.375,12.43195766677845,8,0.0,0.0,8,24.375,12.43195766677845,8,2.275,1.3418478138580232,8,0.7195327953767888,0.41646202809272886,8,0.16540796703769245,0.30220254499748067,8,0.4251831249324533,0.27270147739250733,8,0.0,0.0,8,0.1438888888888889,0.07872159771682705,8
ransomware_rumor,pipeline,3.5,2.449489742783178,8,0.8292377183812388,1.0706367791953193,8,0.33420994744725857,0.16903456015902835,8,0.4160287466219161,0.1838027581856114,8,0.29692980237764205,0.32112298481160173,8,0.026186289406846305,0.007110285933756456,8,45.375,68.32472361556142,8,45.375,68.32472361556142,8,0.0,0.0,8,1.3618651426230546,1.531576101428338,8,0.35254538249213524,0.23616411893615363,8,0.31365526924787424,0.27057995359320725,8,0.21809837367497384,0.3068015211396562,8,0.0,0.0,8,0.11608796296296298,0.08345770774453007,8
ransomware_rumor,pipeline+shield,3.5,2.449489742783178,8,0.8292377183812388,1.0706367791953193,8,0.38781521743098907,0.23471438844995887,8,0.41490191187359693,0.18782033239411,8,0.30104899861532153,0.32920072387103977,8,0.02314451814860732,0.009519161470405728,8,39.875,60.54617482314045,8,0.0,0.0,8,15.625,22.66487212784199,8,1.3618651426230546,1.531576101428338,8,0.5033422464345624,0.411608194329453,8,0.3361996964079833,0.2464309788886611,8,0.21809837367497384,0.3068015211396562,8,0.0,0.0,8,0.11608796296296298,0.08345770774453007,8
ransomware_rumor,vchimera,3.5,2.449489742783178,8,1.6362237434286722,1.0965821699370137,8,0.4344153091576394,0.18094302630056489,8,0.4227984439312894,0.1443588786274627,8,0.4674168392705695,0.2623009569900764,8,0.03480469505004863,0.00165534596138912,8,37.75,19.983922108964066,8,37.75,19.983922108964066,8,0.0,0.0,8,2.562777777777778,1.8763903017160097,8,0.7622596044448093,0.41218040817361257,8,0.22735411917983156,0.26511898397065164,8,0.4574680736123594,0.29148943063535987,8,0.022499999999999996,0.06363961030678927,8,0.17991898148148147,0.07060101157449486,8
ransomware_rumor,vchimera+shield,3.5,2.449489742783178,8,1.4631176375968606,1.0742921869122914,8,0.47314197438623673,0.2555958247263364,8,0.36899700517046985,0.2254692023868553,8,0.4692256810943563,0.3361050727502893,8,0.02794345807641354,0.0030347819897443497,8,25.75,16.917868828971507,8,0.0,0.0,8,25.75,16.917868828971507,8,2.1843623082712997,1.1856822873535906,8,0.6752165540920385,0.4479330626802284,8,0.17728729630999024,0.26165342023727883,8,0.4096347005911656,0.3237844461494316,8,0.0,0.0,8,0.17928240740740742,0.07570207920657343,8
ransomware_rumor,vchimera-no-coupling+shield,3.5,2.449489742783178,8,0.6223930720351256,0.9625891058047168,8,0.31964998271775324,0.20229366459029557,8,0.4604189056205088,0.16315927973890348,8,0.21180222369240428,0.27363440342413886,8,0.02256629091279446,0.007341736242840634,8,9.625,11.363318177363514,8,0.0,0.0,8,9.625,11.363318177363514,8,1.5484898195306116,2.121577806301173,8,0.40365121517644914,0.3706121636119618,8,0.33522340665302475,0.25034150579626335,8,0.14120560513381125,0.2577976393809448,8,0.00125,0.0035355339059327377,8,0.10393518518518519,0.06595046285548298,8
ransomware_rumor,vchimera-no-targeting+shield,3.5,2.449489742783178,8,1.9155561207931902,1.4190864560925533,8,0.4108174383381024,0.22267142696317438,8,0.331550036127518,0.20389403828188632,8,0.5153062485719195,0.3021259348949318,8,0.016006779092575266,0.005732246759058068,8,22.875,11.568893020262816,8,0.0,0.0,8,22.875,11.568893020262816,8,2.9562496219806382,1.9136903879052243,8,0.706007325211816,0.4062406999077799,8,0.18915192196844519,0.2528400722338558,8,0.45226246231340284,0.2886172192383538,8,0.08750000000000002,0.1621066668233341,8,0.17905092592592595,0.0753684650318819,8
