scenario,policy,coupling_scale,moderation_scale,cyber_harm_auc,misbelief_auc,trust_auc,protocol_executed
ransomware_rumor,vchimera+shield,0.7,0.7,1.5967151100526227,0.3757745308706092,0.47051866953874,0.0
ransomware_rumor,vchimera+shield,0.7,1.0,1.5967151100526227,0.3711610000428348,0.4666469935944098,0.0
ransomware_rumor,vchimera+shield,0.7,1.3,1.5967151100526227,0.36559360102487193,0.4646036607100274,0.0
ransomware_rumor,vchimera+shield,0.7,1.6,1.5867534332389652,0.36143068529633093,0.4487338435747025,0.0
ransomware_rumor,vchimera+shield,1.0,0.7,1.263895221196051,0.39074151914949984,0.447928607981464,0.0
ransomware_rumor,vchimera+shield,1.0,1.0,1.263895221196051,0.3818821164979584,0.44792005282291286,0.0
ransomware_rumor,vchimera+shield,1.0,1.3,0.9815184548816827,0.368556401483883,0.4500589543138821,0.0
ransomware_rumor,vchimera+shield,1.0,1.6,1.3975153837326975,0.3675599036536747,0.436225250836055,0.0
ransomware_rumor,vchimera+shield,1.3,0.7,1.419554030412554,0.4133536085950663,0.43031453030247935,0.0
ransomware_rumor,vchimera+shield,1.3,1.0,0.9719060646220945,0.3916541173751289,0.43499440377661547,0.0
ransomware_rumor,vchimera+shield,1.3,1.3,0.9719060646220945,0.38256915800963,0.43495775636910067,0.0
ransomware_rumor,vchimera+shield,1.3,1.6,1.2776092035897597,0.3965955761384216,0.41711041558236434,0.0
ransomware_rumor,vchimera+shield,1.6,0.7,1.7290026814993074,0.553692403150246,0.3130762705271756,0.0
ransomware_rumor,vchimera+shield,1.6,1.0,1.7290026814993074,0.5482053654536168,0.31302632397801256,0.0
ransomware_rumor,vchimera+shield,1.6,1.3,1.6932937785763469,0.542641779118421,0.3123347799953198,0.0
ransomware_rumor,vchimera+shield,1.6,1.6,1.6844199414845766,0.5396235826269316,0.300571904823129,0.0
